epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,4603.16,1.31401,0.82522,1.05487,0.75574,0.69969,0.76836,0.45285,1.33942,0.86985,1.10955,0.00173468,0.00173468,0.00173468
69,4670.44,1.32309,0.80964,1.06674,0.742,0.69006,0.75364,0.43987,1.40219,0.97572,1.14732,0.00173072,0.00173072,0.00173072
70,4737.29,1.3079,0.84401,1.05057,0.73102,0.71098,0.75544,0.4509,1.33022,0.86922,1.0994,0.00172676,0.00172676,0.00172676
71,4804.41,1.32306,0.83244,1.05123,0.74184,0.67802,0.74119,0.43099,1.40007,0.91664,1.12694,0.0017228,0.0017228,0.0017228
72,4871.24,1.31863,0.80504,1.05649,0.73804,0.69505,0.74608,0.43839,1.36895,0.90879,1.11659,0.00171884,0.00171884,0.00171884
73,4938.26,1.27461,0.83558,1.04292,0.7423,0.73065,0.77596,0.45541,1.35567,0.87046,1.10327,0.00171488,0.00171488,0.00171488
74,5005.51,1.29438,0.82004,1.0568,0.7224,0.66409,0.74763,0.45274,1.36954,0.90213,1.12839,0.00171092,0.00171092,0.00171092
75,5072.34,1.33369,0.85028,1.06313,0.67811,0.65015,0.69199,0.38463,1.45882,0.99675,1.15676,0.00170696,0.00170696,0.00170696
76,5139.42,1.32977,0.80658,1.06089,0.76628,0.7291,0.78322,0.45624,1.39318,0.84801,1.12111,0.001703,0.001703,0.001703
77,5206.48,1.29649,0.79267,1.05519,0.71174,0.72136,0.75167,0.44652,1.36817,0.88834,1.11028,0.00169904,0.00169904,0.00169904
78,5273.51,1.29097,0.78108,1.05112,0.72146,0.69366,0.74797,0.44942,1.36161,0.92573,1.11986,0.00169508,0.00169508,0.00169508
79,5340.62,1.27222,0.79359,1.04312,0.70831,0.72446,0.75768,0.45074,1.40029,0.89687,1.11982,0.00169112,0.00169112,0.00169112
80,5407.43,1.25321,0.76979,1.05041,0.76994,0.68901,0.76399,0.44145,1.41023,0.93246,1.12833,0.00168716,0.00168716,0.00168716
81,5474.51,1.24025,0.74876,1.0322,0.75305,0.70334,0.76835,0.45646,1.36227,0.87703,1.11441,0.0016832,0.0016832,0.0016832
82,5541.32,1.26454,0.75632,1.03693,0.75002,0.74149,0.77722,0.42959,1.42987,0.88828,1.14062,0.00167924,0.00167924,0.00167924
83,5608.26,1.27853,0.7576,1.03775,0.80362,0.64861,0.77288,0.4519,1.41153,0.89672,1.12212,0.00167528,0.00167528,0.00167528
